name,brand,collection,price_category,gender,movement,case_material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Hydroconquest GMT,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,156.000₺,L3.890.4.06.6,1832,FALSE,57,Professyonel Dalaay (300m+),Orta Segment,43,Bayak (40-44mm),Orta Prestij
Hampton,Baume & Mercier,Hampton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Gri,Krokodil,107.500₺,10522,1830,FALSE,16,Yazme (50m),Orta Segment,43,Bayak (40-44mm),Orta Prestij
P-Series,Sevenfriday,P-Series,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Mavi,Deri,115.400₺,SF-PS1/04,,FALSE,23,Ganlak Kullanam (30m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
Conquest Heritage Central Power Reserve,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Krokodil,203.000₺,L1.648.4.52.2,1832,FALSE,54,Yazme (50m),Premium,38,Orta (36-40mm),Orta Prestij
Mini DolceVita,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Deri,86.000₺,L5.200.4.75.8,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,22,Kaaak (<36mm),Orta Prestij
Urban BR 05 Skeleton Black Ceramic,Bell & Ross,Urban,Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,54 Saat,Askelet,Kauasuk,433.400₺,BR05A-BL-SK-CE/SRB,,FALSE,19,Snorkeling (100m),Laks,41,Bayak (40-44mm),Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Gri,Paslanmaz Atelik,148.800₺,10702,1830,FALSE,45,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Divers Date,Oris,Divers,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,41 Saat,Mavi,Paslanmaz Atelik,145.600₺,01 733 7795 4055-Set,,FALSE,13,Dalaay (200m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Big Crown ProPilot Date,Oris,Big Crown,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,38 Saat,Mavi,Deri,117.000₺,01 751 7761 4065-07 6 20 07LC,,FALSE,19,Snorkeling (100m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Constellation,Omega,Constellation,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Gri,Paslanmaz Atelik,465.600₺,131.15.28.60.99.001,1848,FALSE,42,Ganlak Kullanam (30m),Laks,28,Kaaak (<36mm),Atok Prestijli
Defy Skyline Chronograph,Zenith,Defy,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Siyah,Paslanmaz Atelik,751.400₺,03.9500.3600/21.I001,1865,FALSE,12,Snorkeling (100m),Laks,42,Bayak (40-44mm),Atok Prestijli
Mini DolceVita,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Deri,86.000₺,L5.200.4.75.0,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,22,Kaaak (<36mm),Orta Prestij
HydroConquest GMT,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Paslanmaz Atelik,156.000₺,L3.890.4.56.6,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,43,Bayak (40-44mm),Orta Prestij
Urban BR 05 Black Ceramic,Bell & Ross,Urban,Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,54 Saat,Siyah,Seramik,370.100₺,BR05A-BL-CE/SCE,,FALSE,19,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
Big Crown X Cervo Volante,Oris,Big Crown,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,38 Saat,Gri,Deri,130.000₺,01 754 7779 4063-Set,,FALSE,19,Yazme (50m),Orta Segment,38,Orta (36-40mm),Orta Prestij
Urban BR 05 Grey Steel,Bell & Ross,Urban,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,42 Saat,Gri,Kauasuk,238.600₺,BR05A-GR-ST/SRB,,FALSE,19,Snorkeling (100m),Premium,40,Orta (36-40mm),Prestijli
Urban BR 05 Skeleton Black Ceramic,Bell & Ross,Urban,Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,54 Saat,Askelet,Seramik,477.300₺,BR05A-BL-SK-CE/SCE,,FALSE,19,Snorkeling (100m),Laks,41,Bayak (40-44mm),Prestijli
Urban BR 05 GMT Sky Blue,Bell & Ross,Urban,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,42 Saat,Mavi,Paslanmaz Atelik,282.500₺,BR05G-PB-ST-SST,,FALSE,19,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
Urban BR-X5 Ice Blue Steel,Bell & Ross,Urban,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,70 Saat,Mavi,Paslanmaz Atelik,399.300₺,BRX5R-IB-ST/SST,,FALSE,19,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
Golden Bridge Automatic,Corum,Diayer Koleksiyonlar,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Kauasuk,1.081.600₺,107.101.04/F371 0000,,FALSE,1,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Aquaracer Professional 300 Date,Tag Heuer,Aquaracer,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,80 Saat,Mavi,Kauasuk,205.400₺,WBP5111.FT6259,,FALSE,50,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Formula 1 Chronograph,Tag Heuer,Formula 1,Mid-Range,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Kauasuk,109.200₺,CAZ101AV.FT8077,,FALSE,38,Dalaay (200m),Orta Segment,43,Bayak (40-44mm),Prestijli
Formula 1 Chronograph X Indy 500 Special Edition,Tag Heuer,Formula 1,Mid-Range,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Siyah,Paslanmaz Atelik,130.000₺,CAZ101AW.BA0842,,FALSE,38,Dalaay (200m),Orta Segment,43,Bayak (40-44mm),Prestijli
H0 Eau Rouge,Daiyer Markalar,Diayer Koleksiyonlar,Ultra-Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,,Gamaay,Kauasuk,2.028.000₺,048.AC.84.RF.RU,,TRUE,1,Ganlak Kullanam (30m),Ultra Laks,48.8,Atok Bayak (>44mm),Ultra Prestijli
Mini DolceVita,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Deri,86.000₺,L5.200.4.75.9,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,22,Kaaak (<36mm),Orta Prestij
Streamliner Flyback Chronograph,H. Moser & Cie.,Streamliner,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,54 Saat,Mavi,Paslanmaz Atelik,2.340.000₺,6902-1201,,TRUE,10,Daiyer,Ultra Laks,42.3,Bayak (40-44mm),Ultra Prestijli
Conquest Marco Odermatt,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,,59 Saat,Mavi,Sentetik,211.000₺,L3.835.4.91.2,1832,FALSE,57,Snorkeling (100m),Premium,42,Bayak (40-44mm),Orta Prestij
Mini DolceVita,Longines,Elegance,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Bej,Krokodil,192.000₺,L5.200.0.79.2,1832,FALSE,69,Ganlak Kullanam (30m),Premium,21,Kaaak (<36mm),Orta Prestij
PrimaLuna,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,64.000₺,L8.122.4.71.6,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,30,Kaaak (<36mm),Orta Prestij
M-Series,Sevenfriday,M-Series,Mid-Range,Erkek,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Unknown,,Premium Collection,2 Yıl,40 Saat,Kahverengi,Deri,105.000₺,SF-M2/02,,FALSE,11,Ganlak Kullanam (30m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
La Grande Classique,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Kahverengi,Paslanmaz Atelik,89.000₺,L4.512.1.67.7,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,29,Kaaak (<36mm),Orta Prestij
P-Series,Sevenfriday,P-Series,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Gri,Paslanmaz Atelik,109.700₺,SF-PS1/01M,,FALSE,23,Ganlak Kullanam (30m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
Avenger GMT,Breitling,Avenger,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Mavi,Paslanmaz Atelik,280.800₺,A32320101C1A1,1884,FALSE,12,Professyonel Dalaay (300m+),Premium,44,Bayak (40-44mm),Prestijli
Monaco Chronograph,Tag Heuer,Monaco,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,80 Saat,Siyah,Kauasuk,572.000₺,CBL2184.FT6236,,FALSE,7,Snorkeling (100m),Laks,39,Orta (36-40mm),Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Yeayil,Paslanmaz Atelik,148.800₺,10770,1830,FALSE,45,Snorkeling (100m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Constellation,Omega,Constellation,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Luxury Collection,5 Yıl,60 Saat,Mavi,Paslanmaz Atelik,477.200₺,131.30.41.21.99.003,1848,FALSE,42,Yazme (50m),Laks,41,Bayak (40-44mm),Atok Prestijli
Admiral’s Cup Ladies,Corum,Admiral,Ultra-Luxury,Women,Otomatik,Pembe Altan,Gold,50m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Krokodil,1.794.000₺,082.954.85/0081 PN33,,TRUE,4,Yazme (50m),Ultra Laks,40,Orta (36-40mm),Atok Prestijli
Hampton,Baume & Mercier,Hampton,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,74.700₺,10476,1830,FALSE,16,Yazme (50m),Ekonomik,35,Kaaak (<36mm),Orta Prestij
Navitimer,Breitling,Navitimer,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,140,Luxury Collection,2 Yıl,38 Saat,Sedef,Krokodil,283.400₺,A17395211A1P5,1884,FALSE,22,Ganlak Kullanam (30m),Premium,35,Kaaak (<36mm),Prestijli
Speedmaster Chronoscope,Omega,Speedmaster,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Paslanmaz Atelik,483.100₺,329.30.43.51.03.001,1848,FALSE,25,Yazme (50m),Laks,43,Bayak (40-44mm),Atok Prestijli
Chronomat GMT,Breitling,Chronomat,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Mavi,Paslanmaz Atelik,301.600₺,A32398101C1A1,1884,FALSE,19,Dalaay (200m),Premium,40,Orta (36-40mm),Prestijli
Mini DolceVita,Longines,Elegance,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Mavi,Krokodil,192.000₺,L5.200.0.95.2,1832,FALSE,69,Ganlak Kullanam (30m),Premium,22,Kaaak (<36mm),Orta Prestij
Everytime,Tissot,T-Classic Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,15.590₺,T143.210.11.011.01,1853,FALSE,160,Yazme (50m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
HydroConquest GMT,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Paslanmaz Atelik,156.000₺,L3.790.4.56.6,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Instruments Patrouille De France 70Th Anniversary,Bell & Ross,Instruments,Mid-Range,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,40 Saat,Mavi,Dana Derisi,204.500₺,BR0392-PAF7-CE/SCA,,FALSE,8,Snorkeling (100m),Premium,42,Bayak (40-44mm),Prestijli
Lyre,Longines,Elegance,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,50.000₺,L4.759.4.11.6,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,35,Kaaak (<36mm),Orta Prestij
P-Series,Sevenfriday,P-Series,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Siyah,Deri,83.200₺,SF-P2B/02,,FALSE,23,Ganlak Kullanam (30m),Ekonomik,47,Atok Bayak (>44mm),Giriş Seviyesi
PR 100 Chronograph,Tissot,T-Classic Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,19.790₺,T150.417.11.351.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Carson Premium Lady Moonphase,Tissot,T-Classic Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Deri,18.890₺,T122.223.16.353.00,1853,FALSE,160,Yazme (50m),Ekonomik,32,Kaaak (<36mm),Giriş Seviyesi
Chronomaster Original,Zenith,Chronomaster,Ultra-Luxury,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Beyaz,Paslanmaz Atelik,780.000₺,03.3400.3610/38.M3200,1865,FALSE,17,Yazme (50m),Ultra Laks,38,Orta (36-40mm),Atok Prestijli
Chronomaster Original,Zenith,Chronomaster,Ultra-Luxury,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Gri,Paslanmaz Atelik,780.000₺,03.3400.3610/39.M3200,1865,FALSE,17,Yazme (50m),Ultra Laks,38,Orta (36-40mm),Atok Prestijli
M-Series Urban Explorer,Sevenfriday,M-Series,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Premium Collection,2 Yıl,40 Saat,Siyah,Deri,94.400₺,SF-M1B/01,,FALSE,11,Ganlak Kullanam (30m),Orta Segment,48,Atok Bayak (>44mm),Giriş Seviyesi
Aquaracer Professional 200 Solargraph,Tag Heuer,Aquaracer,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Sedef,Paslanmaz Atelik,161.200₺,WBP1313.BA0005,,FALSE,50,Dalaay (200m),Orta Segment,34,Kaaak (<36mm),Prestijli
PR 100 Chronograph,Tissot,T-Classic Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,19.790₺,T150.417.11.091.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Carson Premium Chronograph,Tissot,T-Classic Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gamaay,Krokodil,23.690₺,T122.417.16.033.00,1853,FALSE,160,Yazme (50m),Ekonomik,41,Bayak (40-44mm),Giriş Seviyesi
Flamingo,Tissot,T-Lady Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Pembe,Paslanmaz Atelik,18.590₺,T094.210.11.336.00,1853,FALSE,23,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
Aquaracer Professional 200 Chronograph,Tag Heuer,Aquaracer,Mid-Range,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,145.600₺,CBP1113.BA0627,,FALSE,50,Dalaay (200m),Orta Segment,40,Orta (36-40mm),Prestijli
Radiomir Quaranta,Panerai,Radiomir,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Luxury Collection,8 Yıl,72 Saat,Siyah,Krokodil,292.000₺,PAM01572,1860,FALSE,14,Yazme (50m),Premium,40,Orta (36-40mm),Atok Prestijli
Formula 1 Date,Tag Heuer,Formula 1,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Siyah,Paslanmaz Atelik,93.600₺,WAZ1110.BA0875,,FALSE,38,Dalaay (200m),Orta Segment,41,Bayak (40-44mm),Prestijli
Aquaracer Professional 200 Solargraph,Tag Heuer,Aquaracer,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,119.600₺,WBP1311.BA0005,,FALSE,50,Dalaay (200m),Orta Segment,34,Kaaak (<36mm),Prestijli
Imperiale,Chopard,Imperiale,Ultra-Luxury,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,164,Ultra-Luxury Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,956.800₺,388532-3004,1860,FALSE,9,Yazme (50m),Ultra Laks,36,Orta (36-40mm),Atok Prestijli
Classic Superfast Chrono,Chopard,Classic,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,164,Ultra-Luxury Collection,2 Yıl,60 Saat,Siyah,Kauasuk,743.600₺,168535-3001,1860,FALSE,3,Snorkeling (100m),Laks,45,Atok Bayak (>44mm),Atok Prestijli
Imperiale,Chopard,Imperiale,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,164,Ultra-Luxury Collection,2 Yıl,60 Saat,Gamaay,Atelik Altn,644.800₺,388531-6007,1860,FALSE,9,Yazme (50m),Laks,40,Orta (36-40mm),Atok Prestijli
Seastar Wilson WNBA,Tissot,T-Sport Collection,Budget,Unisex,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Beyaz,Sentetik,23.690₺,T120.410.17.011.00,1853,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Chronomat B01,Breitling,Chronomat,Luxury,Erkek,Otomatik,Titanyum,Titanium,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,70 Saat,Gri,Kauasuk,494.000₺,EB0134101M1S1,1884,FALSE,19,Dalaay (200m),Laks,42,Bayak (40-44mm),Prestijli
Navitimer,Breitling,Navitimer,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,140,Luxury Collection,2 Yıl,38 Saat,Yeayil,Krokodil,270.400₺,A17329371L1P1,1884,FALSE,22,Ganlak Kullanam (30m),Premium,41,Bayak (40-44mm),Prestijli
PRX,Tissot,T-Classic Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,20.990₺,T137.210.11.111.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
Aquis Date Calibre 400,Oris,Aquis,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,120 Saat,Yeayil,Kauasuk,215.800₺,01 400 7790 4157-07 4 23 47EB,,FALSE,36,Professyonel Dalaay (300m+),Premium,44,Bayak (40-44mm),Orta Prestij
Chronomat GMT,Breitling,Chronomat,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Mavi,Kauasuk,403.000₺,P32398101C1S1,1884,FALSE,19,Dalaay (200m),Premium,40,Orta (36-40mm),Prestijli
HydroConquest,Longines,Diving,Budget,Women,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,2 Yıl,,Siyah,Paslanmaz Atelik,81.000₺,L3.370.4.56.6,1832,FALSE,49,Professyonel Dalaay (300m+),Ekonomik,32,Kaaak (<36mm),Orta Prestij
Formula 1 Chronograph X Red Bull Racing Special Edition,Tag Heuer,Formula 1,Mid-Range,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Kauasuk,119.600₺,CAZ101AL.FT8052,,FALSE,38,Dalaay (200m),Orta Segment,43,Bayak (40-44mm),Prestijli
T-Race Powermatic 80,Tissot,T-Sport Collection,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Siyah,Silikon,36.580₺,T141.807.17.051.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,41,Bayak (40-44mm),Giriş Seviyesi
Chronomaster Original,Zenith,Chronomaster,Ultra-Luxury,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Beyaz,Dana Derisi,750.900₺,03.3400.3610/38.C911,1865,FALSE,17,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
Superocean Heritage B20,Breitling,Superocean Heritage,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,70 Saat,Siyah,Paslanmaz Atelik,345.800₺,UB2010121B1A1,1884,FALSE,29,Dalaay (200m),Premium,42,Bayak (40-44mm),Prestijli
Navitimer Automatic GMT 41,Breitling,Navitimer,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Siyah,Krokodil,293.800₺,A32310251B1P1,1884,FALSE,22,Ganlak Kullanam (30m),Premium,41,Bayak (40-44mm),Prestijli
Aluminium,Bvlgari,Aluminium,Mid-Range,Erkek,Otomatik,Alaminyum,Other,100m,Water Resistant,Italy,140,Premium Collection,5 Yıl,42 Saat,Beyaz,Kauasuk,173.000₺,103963,1884,FALSE,11,Snorkeling (100m),Orta Segment,40,Orta (36-40mm),Atok Prestijli
Streamliner Tourbillon,H. Moser & Cie.,Streamliner,Ultra-Luxury,Erkek,Otomatik,Pembe Altan,Gold,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Siyah,Pembe Altan,5.928.000₺,6804-0400,,TRUE,10,Daiyer,Ultra Laks,40,Orta (36-40mm),Ultra Prestijli
Spirit,Longines,Avigation,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,117.000₺,L3.810.4.93.6,1832,FALSE,36,Snorkeling (100m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Defy Skyline Tourbillon,Zenith,Defy,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Mavi,Paslanmaz Atelik,3.203.200₺,03.9300.3630/51.I001,1865,TRUE,12,Snorkeling (100m),Ultra Laks,41,Bayak (40-44mm),Atok Prestijli
Big Bang Integrated Time Only Titanium,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,50 Saat,Gri,Titanyum,878.800₺,456.NX.0170.NX,1980,FALSE,43,Snorkeling (100m),Ultra Laks,40,Orta (36-40mm),Atok Prestijli
Chrono XL Classic,Tissot,T-Sport Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Krokodil,22.190₺,T116.617.36.042.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
