name,brand,collection,price,price_category,gender,movement,case material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Seastar 1000,Tissot,T-Sport Collection,21890,Budget,Women,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Seastar 1000,21.890₺,T120.210.11.041.00,1853,30113.854,26090,13456.789,288,-0.27309206,0.058083832,-0.5938321,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
Riviera,Baume & Mercier,Riviera,120200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Yeayil,Kauasuk,Riviera,120.200₺,10763,1830,126401.04,120200,54582.965,96,-0.04905847,0.34371257,-0.41592723,FALSE,45,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Everytime,Tissot,T-Classic Collection,15590,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Everytime,15.590₺,T143.410.11.041.00,1853,30113.854,26090,13456.789,288,-0.48229808,0.008383233,-0.6052328,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Everytime,Tissot,T-Classic Collection,17990,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,Everytime,17.990₺,T143.410.33.091.00,1853,30113.854,26090,13456.789,288,-0.40260056,0.024251496,-0.6008896,FALSE,160,Yazme (50m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PR 100,Tissot,T-Classic Collection,15890,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,PR 100,15.890₺,T150.210.11.041.00,1853,30113.854,26090,13456.789,288,-0.4723359,0.011976048,-0.60468984,FALSE,160,Snorkeling (100m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
PR 100 Sport Gent,Tissot,T-Classic Collection,19190,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,PR 100 Sport Gent,19.190₺,T101.610.11.051.00,1853,30113.854,26090,13456.789,288,-0.36275178,0.032934133,-0.5987181,FALSE,160,Snorkeling (100m),Ekonomik,42,Bayak (40-44mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,20090,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Pembe,Paslanmaz Atelik,PRX,20.090₺,T137.210.11.331.00,1853,30113.854,26090,13456.789,288,-0.3328652,0.04251497,-0.5970894,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
PRX Powermatic 80 Damian Lillard,Tissot,T-Classic Collection,43770,Budget,Erkek,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Siyah,Atelik Altn,PRX Powermatic 80 Damian Lillard,43.770₺,T137.407.33.051.00,1853,30113.854,26090,13456.789,288,0.45348382,0.15,-0.55423737,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Seastar 1000 Powermatic 80,Tissot,T-Sport Collection,41080,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Kauasuk,Seastar 1000 Powermatic 80,41.080₺,T120.407.17.041.00,1853,30113.854,26090,13456.789,288,0.36415616,0.13862276,-0.5591053,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,43,Bayak (40-44mm),Giriş Seviyesi
T-Race Chronograph,Tissot,T-Sport Collection,30580,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,T-Race Chronograph,30.580₺,T141.417.11.051.01,1853,30113.854,26090,13456.789,288,0.015479448,0.105688624,-0.5781064,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
Tradition,Tissot,T-Classic Collection,16790,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gamaay,Krokodil,Tradition,16.790₺,T063.610.16.038.00,1853,30113.854,26090,13456.789,288,-0.4424493,0.017664671,-0.6030612,FALSE,160,Ganlak Kullanam (30m),Ekonomik,42,Bayak (40-44mm),Giriş Seviyesi
Aluminium,Bvlgari,Aluminium,173000,Mid-Range,Erkek,Otomatik,Alaminyum,Other,100m,Water Resistant,Italy,140,Premium Collection,5 Yıl,50 Saat,Mavi,Kauasuk,Aluminium,173.000₺,103554,1884,514079.38,416000,402732.22,63,-0.6634761,0.49790418,-0.32037872,FALSE,11,Snorkeling (100m),Orta Segment,40,Orta (36-40mm),Atok Prestijli
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,433000,Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Italy,140,Luxury Collection,5 Yıl,,Yeayil,Atelik Altn,Bvlgari Bvlgari,433.000₺,103202,1884,514079.38,416000,402732.22,63,-0.1577176,0.76227546,0.15012538,FALSE,14,Ganlak Kullanam (30m),Laks,33,Kaaak (<36mm),Atok Prestijli
Classic Fusion Racing Grey Titanium,Hublot,Classic Fusion,395200,Luxury,Erkek,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Gri,Krokodil,Classic Fusion Racing Grey Titanium,395.200₺,511.NX.7071.LR,1980,842739.1,681200,419912.2,92,-0.531053,0.74041915,0.08172133,FALSE,45,Yazme (50m),Premium,45,Atok Bayak (>44mm),Atok Prestijli
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,639000,Ultra-Luxury,Erkek,Otomatik,Altan,Gold,50m,Water Resistant,Italy,140,Luxury Collection,5 Yıl,42 Saat,Siyah,Krokodil,Bvlgari Bvlgari,639.000₺,103967,1884,514079.38,416000,402732.22,63,0.24299873,0.8730539,0.5229094,FALSE,14,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
Big Bang One Click King Gold Diamonds,Hublot,Big Bang,1.4508e+06,Ultra-Luxury,Unisex,Otomatik,Pembe Altan,Gold,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,50 Saat,Siyah,Kauasuk,Big Bang One Click King Gold Diamonds,1.450.800₺,465.OX.1180.RX.1204,1980,842739.1,681200,419912.2,92,0.7215292,0.96556884,1.991968,FALSE,43,Snorkeling (100m),Ultra Laks,39,Orta (36-40mm),Atok Prestijli
Big Bang One Click King Gold White Diamonds,Hublot,Big Bang,1.2948e+06,Ultra-Luxury,Women,Otomatik,Pembe Altan,Gold,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,Big Bang One Click King Gold White Diamonds,1.294.800₺,485.OE.2210.RW.1204,1980,842739.1,681200,419912.2,92,0.5364185,0.9571856,1.7096655,FALSE,43,Snorkeling (100m),Ultra Laks,33,Kaaak (<36mm),Atok Prestijli
Classic Fusion Ceramic Blue,Hublot,Classic Fusion,483600,Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Krokodil,Classic Fusion Ceramic Blue,483.600₺,542.CM.7170.LR,1980,842739.1,681200,419912.2,92,-0.42615694,0.805988,0.24169272,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Classic Fusion Chronograph,Hublot,Classic Fusion,592800,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Titanyum,Classic Fusion Chronograph,592.800₺,540.NX.1170.NX,1980,842739.1,681200,419912.2,92,-0.29657948,0.85568863,0.43930444,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Luminor Marina,Panerai,Luminor,464200,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Beyaz,Paslanmaz Atelik,Luminor Marina,464.200₺,PAM01564,1860,649664.06,473800,466149.7,89,-0.28547686,0.78502995,0.20658588,FALSE,37,Professyonel Dalaay (300m+),Laks,44,Bayak (40-44mm),Atok Prestijli
Classic Fusion Ceramic King Gold,Hublot,Classic Fusion,670800,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Kauasuk,Classic Fusion Ceramic King Gold,670.800₺,511.CO.1181.RX,1980,842739.1,681200,419912.2,92,-0.20402415,0.8817365,0.58045566,FALSE,45,Yazme (50m),Laks,45,Atok Bayak (>44mm),Atok Prestijli
Classic Fusion Chronograph Titanium Opalin,Hublot,Classic Fusion,551200,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Beyaz,Krokodil,Classic Fusion Chronograph Titanium Opalin,551.200₺,521.NX.2611.LR,1980,842739.1,681200,419912.2,92,-0.34594232,0.84161675,0.36402377,FALSE,45,Yazme (50m),Laks,45,Atok Bayak (>44mm),Atok Prestijli
Classic Fusion Orlinski King Gold White Alternative Pavé,Hublot,Classic Fusion,1.5288e+06,Ultra-Luxury,Unisex,Otomatik,Pembe Altan,Gold,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Beyaz,Kauasuk,Classic Fusion Orlinski King Gold White Alternative Pavé,1.528.800₺,550.OS.2200.RW.1804.ORL20,1980,842739.1,681200,419912.2,92,0.81408453,0.9724551,2.133119,TRUE,45,Yazme (50m),Ultra Laks,40,Orta (36-40mm),Atok Prestijli
Submersible QuarantaQuattro Grigio Roccia,Panerai,Submersible,564700,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Gri,Tekstil,Submersible QuarantaQuattro Grigio Roccia,564.700₺,PAM01288,1860,649664.06,473800,466149.7,89,-0.13078152,0.8473054,0.3884538,FALSE,21,Professyonel Dalaay (300m+),Laks,44,Bayak (40-44mm),Atok Prestijli
Classic Fusion Orlinski Titanium Alternative Pavé,Hublot,Classic Fusion,982800,Ultra-Luxury,Unisex,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Kauasuk,Classic Fusion Orlinski Titanium Alternative Pavé,982.800₺,550.NS.1800.RX.1804.ORL19,1980,842739.1,681200,419912.2,92,0.16619718,0.9299401,1.1450605,FALSE,45,Yazme (50m),Ultra Laks,40,Orta (36-40mm),Atok Prestijli
Classic Fusion King Gold,Hublot,Classic Fusion,863200,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Seramik,Classic Fusion King Gold,863.200₺,510.CO.1180.CO,1980,842739.1,681200,419912.2,92,0.024279008,0.9188623,0.9286287,FALSE,45,Yazme (50m),Ultra Laks,45,Atok Bayak (>44mm),Atok Prestijli
Luminor Perpetual Calendar GMT Goldtech™,Panerai,Luminor,2.5321e+06,Ultra-Luxury,Erkek,Otomatik,Pembe Altan,Gold,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Krokodil,Luminor Perpetual Calendar GMT Goldtech™,2.532.100₺,PAM00742,1860,649664.06,473800,466149.7,89,2.897553,0.98982036,3.9487221,TRUE,37,Yazme (50m),Ultra Laks,44,Bayak (40-44mm),Atok Prestijli
Classic Fusion Chronograph,Hublot,Classic Fusion,722800,Ultra-Luxury,Erkek,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Siyah,Kauasuk,Classic Fusion Chronograph,722.800₺,541.NO.1181.RX,1980,842739.1,681200,419912.2,92,-0.14232059,0.8904192,0.6745565,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Luminor Quaranta BiTempo,Panerai,Luminor,445100,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Siyah,Krokodil,Luminor Quaranta BiTempo,445.100₺,PAM01365,1860,649664.06,473800,466149.7,89,-0.31487665,0.7703593,0.17202193,FALSE,37,Snorkeling (100m),Laks,40,Orta (36-40mm),Atok Prestijli
Classic Fusion Titanium,Hublot,Classic Fusion,551200,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Gri,Krokodil,Classic Fusion Titanium,551.200₺,541.NX.7070.LR,1980,842739.1,681200,419912.2,92,-0.34594232,0.84161675,0.36402377,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Seamaster Planet Ocean 600M,Omega,Seamaster,680900,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,600m,Professional Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Kauasuk,Seamaster Planet Ocean 600M,680.900₺,215.92.46.51.01.003,1848,513525.72,401600,458838.5,140,0.32593167,0.8850299,0.59873295,FALSE,59,Daiyer,Laks,46,Atok Bayak (>44mm),Atok Prestijli
Aquaracer Professional 200 Solargraph,Tag Heuer,Aquaracer,119600,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Aquaracer Professional 200 Solargraph,119.600₺,WBP1315.BA0005,,219025.56,179400,138288.27,133,-0.453945,0.33473054,-0.41701302,FALSE,50,Dalaay (200m),Orta Segment,34,Kaaak (<36mm),Prestijli
Carrera Chronograph Skipper,Tag Heuer,Carrera,358800,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Mavi,Tekstil,Carrera Chronograph Skipper,358.800₺,CBS2213.FN6002,,219025.56,179400,138288.27,133,0.63816494,0.7137725,0.015850754,FALSE,35,Snorkeling (100m),Premium,39,Orta (36-40mm),Prestijli
Carrera Chronograph,Tag Heuer,Carrera,348400,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Yeayil,Paslanmaz Atelik,Carrera Chronograph,348.400₺,CBN2A1N.BA0643,,219025.56,179400,138288.27,133,0.5906819,0.70628744,-0.00296941,FALSE,35,Snorkeling (100m),Premium,44,Bayak (40-44mm),Prestijli
Seastar 1000 Powermatic 80,Tissot,T-Sport Collection,41980,Budget,Erkek,Otomatik,Atelik Altn,Gold,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Gri,Atelik Altn,Seastar 1000 Powermatic 80,41.980₺,T120.807.22.051.00,1853,30113.854,26090,13456.789,288,0.39404276,0.14131737,-0.5574766,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Seastar 1000 GMT,Tissot,T-Sport Collection,25490,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Seastar 1000 GMT,25.490₺,T120.852.11.051.00,1853,30113.854,26090,13456.789,288,-0.15354575,0.084730536,-0.5873174,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Big Bang Unico Titanium Ceramic,Hublot,Big Bang,1.0348e+06,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Kauasuk,Big Bang Unico Titanium Ceramic,1.034.800₺,421.NM.1170.RX,1980,842739.1,681200,419912.2,92,0.22790074,0.93353295,1.2391614,FALSE,43,Snorkeling (100m),Ultra Laks,44,Bayak (40-44mm),Atok Prestijli
Instruments BR 03-93 GMT,Bell & Ross,Instruments,219200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,42 Saat,Siyah,Deri,Instruments BR 03-93 GMT,219.200₺,BR0393-BL-ST-SCA,,319280,287100,120730.07,30,-0.31345528,0.56377244,-0.23677376,FALSE,8,Snorkeling (100m),Premium,42,Bayak (40-44mm),Prestijli
HydroConquest GMT,Longines,Diving,156000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,HydroConquest GMT,156.000₺,L3.790.4.06.6,1832,134676.78,131000,52081.965,267,0.15832886,0.44880238,-0.35114244,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,41,Bayak (40-44mm),Orta Prestij
P-Series Aka CCG,Sevenfriday,P-Series,115400,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Yeayil,Silikon,P-Series Aka CCG,115.400₺,SF-PS3/05,,93480.95,87900,16714.975,42,0.23447609,0.3230539,-0.42461348,FALSE,23,Snorkeling (100m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
T-Series,Sevenfriday,T-Series,81100,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Yeayil,Paslanmaz Atelik,T-Series,81.100₺,SF-T1/06M,,93480.95,87900,16714.975,42,-0.13244358,0.23053892,-0.48668382,FALSE,5,Ganlak Kullanam (30m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
PR516 Chronograph,Tissot,T-Sport Collection,26390,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,PR516 Chronograph,26.390₺,T149.417.11.041.00,1853,30113.854,26090,13456.789,288,-0.12365917,0.09011976,-0.5856887,FALSE,97,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
P-Series,Sevenfriday,P-Series,88400,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Gri,Deri,P-Series,88.400₺,SF-PS1/01,,93480.95,87900,16714.975,42,-0.05435281,0.24610779,-0.47347352,FALSE,23,Ganlak Kullanam (30m),Ekonomik,47,Atok Bayak (>44mm),Giriş Seviyesi
Classic Fusion Blue,Hublot,Classic Fusion,312000,Luxury,Women,Pilli,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,,Mavi,Krokodil,Classic Fusion Blue,312.000₺,581.NX.7170.LR,1980,842739.1,681200,419912.2,92,-0.6297787,0.6679641,-0.06883998,FALSE,45,Yazme (50m),Premium,33,Kaaak (<36mm),Atok Prestijli
Lvcea,Bvlgari,Lvcea,283000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,140,Luxury Collection,5 Yıl,42 Saat,Sedef,Krokodil,Lvcea,283.000₺,103478,1884,514079.38,416000,402732.22,63,-0.44950134,0.63832337,-0.12131929,FALSE,10,Yazme (50m),Premium,33,Kaaak (<36mm),Atok Prestijli
M-Series,Sevenfriday,M-Series,83200,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Premium Collection,2 Yıl,40 Saat,Siyah,Deri,M-Series,83.200₺,SF-M3/07,,93480.95,87900,16714.975,42,-0.109979115,0.23383233,-0.4828836,FALSE,11,Ganlak Kullanam (30m),Ekonomik,47,Atok Bayak (>44mm),Giriş Seviyesi
P-Series,Sevenfriday,P-Series,91500,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Gri,Deri,P-Series,91.500₺,SF-PS2/01,,93480.95,87900,16714.975,42,-0.021190973,0.25209582,-0.46786365,FALSE,23,Ganlak Kullanam (30m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
Conquest,Longines,Performance,208000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Kauasuk,Conquest,208.000₺,L3.430.0.87.9,1832,134676.78,131000,52081.965,267,0.5444385,0.54640716,-0.25704163,FALSE,57,Snorkeling (100m),Premium,34,Kaaak (<36mm),Orta Prestij
P-Series Aka CCB,Sevenfriday,P-Series,115400,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Mavi,Silikon,P-Series Aka CCB,115.400₺,SF-PS3/04,,93480.95,87900,16714.975,42,0.23447609,0.3230539,-0.42461348,FALSE,23,Snorkeling (100m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
Monaco Chronograph,Tag Heuer,Monaco,546000,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,80 Saat,Askelet,Kauasuk,Monaco Chronograph,546.000₺,CBL2183.FT6236,,219025.56,179400,138288.27,133,1.4928597,0.8374252,0.35461372,FALSE,7,Snorkeling (100m),Laks,39,Orta (36-40mm),Prestijli
Chronomaster Sport,Zenith,Chronomaster,634400,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Yeayil,Paslanmaz Atelik,Chronomaster Sport,634.400₺,03.3119.3600/56.M3100,1865,899523.5,634400,777656.8,34,-0.29473773,0.8712575,0.5145851,FALSE,17,Snorkeling (100m),Laks,41,Bayak (40-44mm),Atok Prestijli
Avenger,Breitling,Avenger,228800,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Luxury Collection,2 Yıl,38 Saat,Yeayil,Dana Derisi,Avenger,228.800₺,A17328101L1X1,1884,344131.2,317200,114878.734,125,-0.3351373,0.57724553,-0.2194013,FALSE,12,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Diver Chronograph,Ulysse Nardin,Diver,733200,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,300m,Diving,Switzerland,178,Ultra-Luxury Collection,5 Yıl,48 Saat,Siyah,Kauasuk,Diver Chronograph,733.200₺,1503-170-2A/3A,1846,1.3e+06,743600,1.5462441e+06,19,-0.436,0.8934132,0.69337666,FALSE,9,Professyonel Dalaay (300m+),Laks,44,Bayak (40-44mm),Ultra Prestijli
P-Series,Sevenfriday,P-Series,82200,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Beyaz,Deri,P-Series,82.200₺,SF-P1C/01,,93480.95,87900,16714.975,42,-0.12067648,0.23233533,-0.48469323,FALSE,23,Ganlak Kullanam (30m),Ekonomik,47,Atok Bayak (>44mm),Giriş Seviyesi
P-Series,Sevenfriday,P-Series,92600,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Siyah,Paslanmaz Atelik,P-Series,92.600₺,SF-P1B/01M,,93480.95,87900,16714.975,42,-0.009423871,0.25359282,-0.46587306,FALSE,23,Ganlak Kullanam (30m),Orta Segment,47,Atok Bayak (>44mm),Giriş Seviyesi
PR 100,Tissot,T-Classic Collection,17990,Budget,Women,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,PR 100,17.990₺,T150.210.21.031.00,1853,30113.854,26090,13456.789,288,-0.40260056,0.024251496,-0.6008896,FALSE,160,Snorkeling (100m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
Le Locle Automatic Lady,Tissot,T-Classic Collection,41080,Budget,Women,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,38 Saat,Gamaay,Paslanmaz Atelik,Le Locle Automatic Lady,41.080₺,T41.2.183.16,1853,30113.854,26090,13456.789,288,0.36415616,0.13862276,-0.5591053,FALSE,160,Ganlak Kullanam (30m),Ekonomik,26,Kaaak (<36mm),Giriş Seviyesi
Le Locle Automatic Small Lady,Tissot,T-Classic Collection,39280,Budget,Women,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,48 Saat,Gamaay,Atelik Altn,Le Locle Automatic Small Lady,39.280₺,T41.2.183.33,1853,30113.854,26090,13456.789,288,0.304383,0.13323353,-0.5623626,FALSE,160,Ganlak Kullanam (30m),Ekonomik,26,Kaaak (<36mm),Giriş Seviyesi
Clifton Moon Phase Date,Baume & Mercier,Clifton,202300,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Mavi,Paslanmaz Atelik,Clifton Moon Phase Date,202.300₺,10725,1830,126401.04,120200,54582.965,96,0.6004615,0.53772455,-0.26735651,FALSE,16,Yazme (50m),Premium,42,Bayak (40-44mm),Orta Prestij
PR 100,Tissot,T-Classic Collection,15890,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,PR 100,15.890₺,T150.410.11.051.00,1853,30113.854,26090,13456.789,288,-0.4723359,0.011976048,-0.60468984,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PR 100,Tissot,T-Classic Collection,19490,Budget,Erkek,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Atelik Altn,PR 100,19.490₺,T150.410.22.041.00,1853,30113.854,26090,13456.789,288,-0.35278958,0.034431137,-0.59817517,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
PR 100,Tissot,T-Classic Collection,15890,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,PR 100,15.890₺,T150.210.11.031.00,1853,30113.854,26090,13456.789,288,-0.4723359,0.011976048,-0.60468984,FALSE,160,Snorkeling (100m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
